Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152221_447248776, 24896.390625, 0.0, 1533.6954345703125, 61.43199157714844, 0.4339759051799774, 180.72317504882812, -0.0179494209587574, -0.13579101860523224, -0.8006352186203003, -27821.708984375, 8.253863334655762, -2428.34716796875, 0.028076745569705963, -0.005227522924542427, -0.0011997985420748591, 0.011596856638789177, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447282108, 24896.423828125, 0.0, 1534.5133056640625, 61.402122497558594, 0.43397650122642517, 180.82310485839844, -0.06809720396995544, -0.08075989782810211, -0.8104775547981262, -27822.013671875, 8.216360092163086, -2429.992919921875, 0.02875230461359024, -0.00525620998814702, -0.001136201899498701, 0.010223545134067535, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447315440, 24896.455078125, 0.0, 1535.3369140625, 61.37224197387695, 0.4339771568775177, 180.9241485595703, -0.05467015877366066, 0.010888772085309029, -0.8258132934570312, -27822.322265625, 8.178625106811523, -2431.638671875, 0.029274292290210724, -0.00528337899595499, -0.0010246041929349303, 0.008911268785595894, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447332106, 24896.486328125, 0.0, 1536.16455078125, 61.342350006103516, 0.43397778272628784, 181.0279998779297, 0.19397935271263123, 0.07764018326997757, -0.8371891975402832, -27822.63671875, 8.140787124633789, -2433.28466796875, 0.02967541106045246, -0.005303945392370224, -0.000833738362416625, 0.006469825282692909, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447382104, 24896.501953125, 0.0, 1536.5601806640625, 61.32740020751953, 0.43397805094718933, 181.07949829101562, 0.3286295235157013, 0.07661231607198715, -0.8416754603385925, -27822.79296875, 8.121817588806152, -2434.10791015625, 0.029827015474438667, -0.005309485364705324, -0.00071125035174191, 0.005523765925318003, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447415436, 24896.55078125, 0.0, 1537.7987060546875, 61.28253936767578, 0.43397897481918335, 181.23387145996094, 0.6511691212654114, 0.018084177747368813, -0.851197361946106, -27823.267578125, 8.064574241638184, -2436.57861328125, 0.030119702219963074, -0.005312331020832062, -0.0003468218201305717, 0.0032959487289190292, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447432102, 24896.58203125, 0.0, 1538.7022705078125, 61.25261306762695, 0.4339796304702759, 181.33570861816406, 0.8140038251876831, -0.06443531811237335, -0.8543789386749268, -27823.583984375, 8.025918006896973, -2438.226806640625, 0.03022274561226368, -0.005316657014191151, -0.0001625964359845966, 0.0012207217514514923, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447465434, 24896.59765625, 0.0, 1539.072265625, 61.237648010253906, 0.43397992849349976, 181.38690185546875, 0.9130547046661377, -0.10784949362277985, -0.855706512928009, -27823.7421875, 8.006420135498047, -2439.05126953125, 0.030225124210119247, -0.005318022798746824, -9.251111623598263e-05, 0.00079346913844347, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447498766, 24896.630859375, 0.0, 1539.9420166015625, 61.20771026611328, 0.4339805543422699, 181.48875427246094, 0.8277003169059753, -0.19673894345760345, -0.854722261428833, -27824.060546875, 7.967075347900391, -2440.70068359375, 0.03016330860555172, -0.0053283823654055595, -3.3012579478963744e-06, -0.001937895780429244, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447532098, 24896.662109375, 0.0, 1540.7972412109375, 61.17776107788086, 0.43398118019104004, 181.59144592285156, 0.7320579290390015, -0.2277086079120636, -0.853280246257782, -27824.375, 7.927337169647217, -2442.351806640625, 0.030006615445017815, -0.005351073574274778, 6.36725380900316e-05, -0.004104676656424999, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
