Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140238_1450352882,88,-0.099596,-1.4249,-5,0,0,0,0,0,0:00:08
20200722_140238_1450386214,88,-0.030158,-1.4142,-5,0,0,0,0,0,0:00:08
20200722_140238_1450402880,88,-0.007828,-1.4423,-5,0,0,0,0,0,0:00:08
20200722_140238_1450436212,88,-7.00E-06,-1.4692,-5,0,0,0,0,0,0:00:08
20200722_140238_1450452878,88,0.000229,-1.5197,-5,0,0,0,0,0,0:00:08
20200722_140238_1450486210,88,-0.003498,-1.5372,-5,0,0,0,0,0,0:00:08
20200722_140238_1450519542,88,-0.016452,-1.5588,-5,0,0,0,0,0,0:00:08
20200722_140238_1450536208,88,-0.036129,-1.5892,-5,0,0,0,0,0,0:00:08
20200722_140238_1450569540,88,-0.047537,-1.6279,-5,0,0,0,0,0,0:00:08
20200722_140238_1450619538,88,-0.075873,-1.75,-6,0,0,0,0,0,0:00:08
20200722_140238_1450636204,88,-0.130196,-2.0874,-6,0,0,0,0,0,0:00:08
20200722_140238_1450669536,88,-0.153813,-2.2308,-6,0,0,0,0,0,0:00:08
20200722_140238_1450702868,88,-0.171559,-2.4926,-7,2,0,0,0,0,0:00:08
20200722_140238_1450736200,88,-0.166548,-2.6638,-7,15,0,0,0,0,0:00:08
20200722_140238_1450769532,88,-0.138144,-2.7317,-7,25,0,0,0,0,0:00:08
20200722_140238_1450802864,88,-0.106982,-2.7184,-7,36,0,0,0,0,0:00:08
20200722_140238_1450836196,88,-0.087137,-2.7294,-8,42,0,0,0,1,0:00:08
20200722_140238_1450852862,88,-0.093996,-2.7985,-8,48,0,0,0,1,0:00:08
20200722_140238_1450902860,88,-0.096604,-2.8315,-8,49,0,0,0,1,0:00:08
20200722_140238_1450952858,88,-0.10541,-2.9283,-8,50,0,0,0,1,0:00:08
20200722_140239_1450969524,88,-0.08831,-2.9366,-8,50,0,0,0,1,0:00:09
20200722_140239_1451019522,88,-0.069314,-2.9176,-8,50,0,0,0,1,0:00:09
20200722_140239_1451069520,88,-0.031646,-2.8603,-8,50,0,0,0,1,0:00:09
20200722_140239_1451086186,88,-0.006555,-2.8713,-8,50,0,0,0,1,0:00:09
20200722_140239_1451119518,88,-0.008136,-2.8717,-8,50,0,0,0,1,0:00:09
20200722_140239_1451152850,88,0.00086,-2.8804,-8,50,0,0,0,1,0:00:09
20200722_140239_1451186182,88,-0.003567,-2.8789,-8,50,0,0,0,1,0:00:09
20200722_140239_1451219514,88,0.002297,-2.8497,-8,50,0,0,0,1,0:00:09
20200722_140239_1451252846,88,-0.003304,-2.8364,-8,50,0,0,0,1,0:00:09
20200722_140239_1451286178,88,-0.0159,-2.8459,-8,50,0,0,0,1,0:00:09
20200722_140239_1451302844,88,-0.037965,-2.9021,-9,50,0,0,0,1,0:00:09
